CREATE DATABASE proven
# DML
# CONTEXT-DATABASE: proven
# CONTEXT-RETENTION-POLICY: autogen 


ieeezipload value=0.401674 1514764800
ieeezipload value=0.402149 1514764860
ieeezipload value=0.402625 1514764920
ieeezipload value=0.403101 1514764980
ieeezipload value=0.403576 1514765040
ieeezipload value=0.404052 1514765100
ieeezipload value=0.404527 1514765160
ieeezipload value=0.405003 1514765220
ieeezipload value=0.405479 1514765280
ieeezipload value=0.405954 1514765340
ieeezipload value=0.406430 1514765400
ieeezipload value=0.406905 1514765460
ieeezipload value=0.407381 1514765520
ieeezipload value=0.407857 1514765580
ieeezipload value=0.408332 1514765640
ieeezipload value=0.408808 1514765700
ieeezipload value=0.409283 1514765760
ieeezipload value=0.409759 1514765820
ieeezipload value=0.410235 1514765880
ieeezipload value=0.410710 1514765940
ieeezipload value=0.411186 1514766000
ieeezipload value=0.411661 1514766060
ieeezipload value=0.412137 1514766120
ieeezipload value=0.412613 1514766180
ieeezipload value=0.413088 1514766240
ieeezipload value=0.413564 1514766300
ieeezipload value=0.414039 1514766360
ieeezipload value=0.414515 1514766420
ieeezipload value=0.414991 1514766480
ieeezipload value=0.415466 1514766540
ieeezipload value=0.415942 1514766600
ieeezipload value=0.416417 1514766660
ieeezipload value=0.416893 1514766720
ieeezipload value=0.417369 1514766780
ieeezipload value=0.417844 1514766840
ieeezipload value=0.418320 1514766900
ieeezipload value=0.418795 1514766960
ieeezipload value=0.419271 1514767020
ieeezipload value=0.419747 1514767080
ieeezipload value=0.420222 1514767140
ieeezipload value=0.420698 1514767200
ieeezipload value=0.421173 1514767260
ieeezipload value=0.421649 1514767320
ieeezipload value=0.422125 1514767380
ieeezipload value=0.422600 1514767440
ieeezipload value=0.423076 1514767500
ieeezipload value=0.423551 1514767560
ieeezipload value=0.424027 1514767620
ieeezipload value=0.424503 1514767680
ieeezipload value=0.424978 1514767740
ieeezipload value=0.425454 1514767800
ieeezipload value=0.425929 1514767860
ieeezipload value=0.426405 1514767920
ieeezipload value=0.426880 1514767980
ieeezipload value=0.427356 1514768040
ieeezipload value=0.427832 1514768100
ieeezipload value=0.428307 1514768160
ieeezipload value=0.428783 1514768220
ieeezipload value=0.429258 1514768280
ieeezipload value=0.429734 1514768340
ieeezipload value=0.430210 1514768400
ieeezipload value=0.430594 1514768460
ieeezipload value=0.430978 1514768520
ieeezipload value=0.431362 1514768580
ieeezipload value=0.431747 1514768640
ieeezipload value=0.432131 1514768700
ieeezipload value=0.432515 1514768760
ieeezipload value=0.432899 1514768820
ieeezipload value=0.433284 1514768880
ieeezipload value=0.433668 1514768940
ieeezipload value=0.434052 1514769000
ieeezipload value=0.434436 1514769060
ieeezipload value=0.434821 1514769120
ieeezipload value=0.435205 1514769180
ieeezipload value=0.435589 1514769240
ieeezipload value=0.435973 1514769300
ieeezipload value=0.436358 1514769360
ieeezipload value=0.436742 1514769420
ieeezipload value=0.437126 1514769480
ieeezipload value=0.437510 1514769540
ieeezipload value=0.437895 1514769600
ieeezipload value=0.438279 1514769660
ieeezipload value=0.438663 1514769720
ieeezipload value=0.439047 1514769780
ieeezipload value=0.439432 1514769840
ieeezipload value=0.439816 1514769900
ieeezipload value=0.440200 1514769960
ieeezipload value=0.440584 1514770020
ieeezipload value=0.440969 1514770080
ieeezipload value=0.441353 1514770140
ieeezipload value=0.441737 1514770200
ieeezipload value=0.442121 1514770260
ieeezipload value=0.442506 1514770320
ieeezipload value=0.442890 1514770380
ieeezipload value=0.443274 1514770440
ieeezipload value=0.443658 1514770500
ieeezipload value=0.444043 1514770560
ieeezipload value=0.444427 1514770620
ieeezipload value=0.444811 1514770680
ieeezipload value=0.445195 1514770740
ieeezipload value=0.445580 1514770800
ieeezipload value=0.445964 1514770860
ieeezipload value=0.446348 1514770920
ieeezipload value=0.446732 1514770980
ieeezipload value=0.447117 1514771040
ieeezipload value=0.447501 1514771100
ieeezipload value=0.447885 1514771160
ieeezipload value=0.448269 1514771220
ieeezipload value=0.448654 1514771280
ieeezipload value=0.449038 1514771340
ieeezipload value=0.449422 1514771400
ieeezipload value=0.449806 1514771460
ieeezipload value=0.450191 1514771520
ieeezipload value=0.450575 1514771580
ieeezipload value=0.450959 1514771640
ieeezipload value=0.451343 1514771700
ieeezipload value=0.451728 1514771760
ieeezipload value=0.452112 1514771820
ieeezipload value=0.452496 1514771880
ieeezipload value=0.452880 1514771940
ieeezipload value=0.453265 1514772000
ieeezipload value=0.453248 1514772060
ieeezipload value=0.453232 1514772120
ieeezipload value=0.453216 1514772180
ieeezipload value=0.453200 1514772240
ieeezipload value=0.453183 1514772300
ieeezipload value=0.453167 1514772360
ieeezipload value=0.453151 1514772420
ieeezipload value=0.453135 1514772480
ieeezipload value=0.453118 1514772540
ieeezipload value=0.453102 1514772600
ieeezipload value=0.453086 1514772660
ieeezipload value=0.453070 1514772720
ieeezipload value=0.453053 1514772780
ieeezipload value=0.453037 1514772840
ieeezipload value=0.453021 1514772900
ieeezipload value=0.453005 1514772960
ieeezipload value=0.452988 1514773020
ieeezipload value=0.452972 1514773080
ieeezipload value=0.452956 1514773140
ieeezipload value=0.452940 1514773200
ieeezipload value=0.452923 1514773260
ieeezipload value=0.452907 1514773320
ieeezipload value=0.452891 1514773380
ieeezipload value=0.452875 1514773440
ieeezipload value=0.452858 1514773500
ieeezipload value=0.452842 1514773560
ieeezipload value=0.452826 1514773620
ieeezipload value=0.452810 1514773680
